Video Position (%),Segment Text,Video
0,"Embarrassingly Dumb Ways People Died [Part 8] We’d all like to be remembered for something great. But, surprisingly often, incredibly dumb",Video A
1,"folks leave this world with a parting tale they’d probably prefer to be forgotten. That said, some of these spectacularly dim-witted,",Video A
2,"accidental exit strategies are irresistibly entertaining to hear about. So, without further ado, let’s check out some of the most Embarrassingly",Video A
3,"Dumb Ways People Died. Labels? What Labels? Whenever blowtorches fall into the hands of the less-than-brightest members of our species, it’s",Video A
4,"always best to take a few steps back. By which I mean, move to the next county over. If this piece",Video A
5,"of common sense wasn’t already obvious, a man from Topeka, Kansas certainly made it clear in June 2019. When he stumbled",Video A
6,"upon what appeared to be an empty metal drum, the inquisitive fellow thought best to cut the thing open with a",Video A
7,"blowtorch. What he was hoping to use the divided drum for is anyone’s guess, as it exploded violently before the fellow",Video A
8,"got the chance to finish his task. Apparently, he’d ignored the bold warnings that the drum contained methanol, a highly volatile",Video A
9,"compound. For people like this, instructions to ‘keep away from naked flame’ must sound like a challenge! The only reward, of",Video A
10,"course, is a Darwin Award for removing yourself from the gene pool. Whether he read the labels or not, this guy’s",Video A
11,"over-eager blowtorch trigger-finger cost him his life. Disney’s Other Dumbo In Disney’s Beauty and the Beast, Gaston is an incredibly arrogant",Video A
12,"character with an endless supply of misplaced self-confidence. So, perhaps the man who played the role of Gaston at Disney World",Video A
13,"Orlando was still in-character when he brought about his own, explosive demise in 2015? It would seem so, because he clearly",Video A
14,placed too much confidence in the strength of his own skull when he launched a firework from atop his head. He’d,Video A
15,"been drinking and joking around with the idea, when the firework accidentally caught alight. Within seconds, the mortar tube exploded in",Video A
16,"a colourful, fiery explosion that no amount of beer could take the edge off. Needless to say, Disney World had to",Video A
17,"find a new Gaston, but hopefully the new one was less of a method actor. Stay In Your Lane Riding in",Video A
18,"a bicycle lane can be dangerous enough sometimes, but riding a bicycle on a highway? For most people, this obvious no-no",Video A
19,"should speak for itself. But one man in September 2019 was clearly different from ‘most people’, as he decided to take",Video A
20,"a late-night bike ride along the 405 Freeway in Long Beach, California. He trundled along in the auxiliary lane – which",Video A
21,"is designed to allow drivers to speed up or slow down – on the 60mph highway in the dark, unaware of",Video A
22,"the danger. Unsurprisingly, a driver using the auxiliary lane, not expecting to see a cyclist, ploughed into the bicycle at full-speed,",Video A
23,"unable to stop. The cyclist was killed, and the driver was traumatised by an accident that should never have happened. So,",Video A
24,"unless you’re a superhuman who can ride their bicycle at 60mph and over, leave the highways to the motorists. Boredom Cure",Video A
